bom_movie_name;bom_url;se_total_gross_usd
Logan Lucky;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=loganlucky.htm;109521
Home Again;N/A;N/A
Resident Evil: The Final Chapter;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=residentevil6.htm;267696
The House;N/A;N/A
Gifted;N/A;N/A
Molly's Game;N/A;N/A
Downsizing;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=downsizing.htm;352526
All the Money in the World;N/A;N/A
The Bye Bye Man;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=thebyebyeman.htm;114000
Victoria and Abdul;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=victoriaandabdul.htm;615825
Rough Night;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=rockthatbody.htm;316686
My Little Pony: The Movie;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=mylittlepony2017.htm;901609
Leap!;N/A;N/A
Sleepless;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=sleepless.htm;28408
The Disaster Artist;N/A;N/A
Diary of a Wimpy Kid: The Long Haul;N/A;N/A
The Circle (2017);N/A;N/A
Baahubali 2: The Conclusion;N/A;N/A
CHiPs;N/A;N/A
Only The Brave;N/A;N/A
mother!;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=mother2017.htm;182528
The Zookeeper's Wife;N/A;N/A
Father Figures;N/A;N/A
The Glass Castle;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=theglasscastle.htm;72258
Flatliners (2017);N/A;N/A
Detroit;N/A;N/A
The Case for Christ;N/A;N/A
Wish Upon;N/A;N/A
It Comes At Night;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=itcomesatnight.htm;294362
Born in China;N/A;N/A
Megan Leavey;N/A;N/A
The Founder;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=founder.htm;16193
Battle of the Sexes;N/A;N/A
Before I Fall;N/A;N/A
Unforgettable (2017);N/A;N/A
The Beguiled (2017);http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=thebeguiled2017.htm;324676
The Belko Experiment;N/A;N/A
Marshall;N/A;N/A
Thank You for Your Service (2017);N/A;N/A
Rock Dog;N/A;N/A
Call Me by Your Name;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=callmebyyourname.htm;443587
The Lost City of Z;N/A;N/A
The Promise (2017);N/A;N/A
A Cure for Wellness;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=acureforwellness.htm;129724
The Space Between Us;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=thespacebetweenus.htm;45233
Gold;N/A;N/A
Let there be Light;N/A;N/A
I am Not Your Negro;N/A;N/A
Beatriz At Dinner;N/A;N/A
Birth of the Dragon;N/A;N/A
The Snowman;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=thesnowman.htm;1204938
Loving Vincent;N/A;N/A
Same Kind of Different as Me;N/A;N/A
Phantom Thread;N/A;N/A
Lowriders;N/A;N/A
Maudie;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=maudie.htm;60868
Just Getting Started;N/A;N/A
All Saints;N/A;N/A
Suburbicon;N/A;N/A
The Man Who Invented Christmas;N/A;N/A
Paris Can Wait;N/A;N/A
The Florida Project;N/A;N/A
Tiger Zinda Hai;N/A;N/A
Your Name.;N/A;N/A
The Book of Henry;N/A;N/A
Stronger;N/A;N/A
The Hero;N/A;N/A
Sleight;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=untitledbhtiltii2017.htm;1458
A United Kingdom;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=aunitedkingdom.htm;357628
Norman: The Moderate Rise and Tragic Fall of a New York Fixer;N/A;N/A
Friend Request;N/A;N/A
Table 19;N/A;N/A
Their Finest;N/A;N/A
Phoenix Forgotten;N/A;N/A
An Inconvenient Sequel: Truth to Power;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=aninconvenientsequel.htm;83239
Til Death Do Us Part;N/A;N/A
Raees;N/A;N/A
Close Encounters of the Third Kind (40th Anniversary);N/A;N/A
Colossal;N/A;N/A
Ingrid Goes West;N/A;N/A
Ballerina (2017) [Canada Only];N/A;N/A
The Oscar Nominated Short Films 2017;N/A;N/A
Kedi;N/A;N/A
Wolf Warrior 2;N/A;N/A
My Cousin Rachel;N/A;N/A
Mayweather vs. McGregor;N/A;N/A
A Question Of Faith;N/A;N/A
Is Genesis History?;N/A;N/A
Newsies: The Broadway Musical;N/A;N/A
In Our Hands: The Battle for Jerusalem;N/A;N/A
Hazlo Como Hombre (Do It Like An Hombre);N/A;N/A
LBJ;N/A;N/A
Tulip Fever;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=tulipfever.htm;524943
The Salesman;N/A;N/A
T2: Trainspotting;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=trainspotting2.htm;191680
Pokemon the Movie: I Choose You!;N/A;N/A
Jeepers Creepers 3;N/A;N/A
The Resurrection of Gavin Stone ;N/A;N/A
The Killing of a Sacred Deer;N/A;N/A
Collide;N/A;N/A
The Lovers;N/A;N/A
Un Padre No Tan Padre;N/A;N/A
Brad's Status;N/A;N/A
Good Time;N/A;N/A
Badrinath Ki Dulhania;N/A;N/A
Everybody Loves Somebody;N/A;N/A
Youth (2017);N/A;N/A
A Quiet Passion;N/A;N/A
Toilet: Ek Prem Katha;N/A;N/A
The Wall;N/A;N/A
Free Fire;N/A;N/A
The Last Word;N/A;N/A
Goodbye Christopher Robin;N/A;N/A
Menashe;N/A;N/A
Slamma Jamma;N/A;N/A
Along with the Gods: The Two Worlds;N/A;N/A
Jab Harry Met Sejal;N/A;N/A
Jolly Llb 2;N/A;N/A
The Little Hours;N/A;N/A
Jane (2017);N/A;N/A
Hostiles;N/A;N/A
A Ghost Story;N/A;N/A
Professor Marston & the Wonder Women;N/A;N/A
The Stray;N/A;N/A
Genesis: Paradise Lost;N/A;N/A
A Taxi Driver;N/A;N/A
Sword Art Online: The Movie - Ordinal Scale;N/A;N/A
Inhumans;N/A;N/A
Mully;N/A;N/A
Judwaa 2;N/A;N/A
The Wedding Plan;N/A;N/A
Wonder Wheel;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=wonderwheel.htm;202715
The Square;N/A;N/A
My Friend Dahmer;N/A;N/A
The Dinner;N/A;N/A
Personal Shopper;N/A;N/A
Churchill;N/A;N/A
The Sense of an Ending;N/A;N/A
Chonda Pierce: Enough;N/A;N/A
3 Idiotas;N/A;N/A
True to the Game;N/A;N/A
Steve McQueen: American Icon;N/A;N/A
The Women's Balcony;N/A;N/A
Spirited Away (Fathom Event);N/A;N/A
The Trip to Spain;N/A;N/A
Step (2017);N/A;N/A
Lady Macbeth;N/A;N/A
Viceroy's House;N/A;N/A
The Battleship Island;N/A;N/A
Wonderstruck;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=wonderstruck.htm;3832
Terminator 2: Judgment Day 3D;N/A;N/A
TCM Presents Casablanca 75th Anniversary;N/A;N/A
Columbus;N/A;N/A
Yu-Gi-Oh! The Dark Side of Dimensions;N/A;N/A
Golmaal Again;N/A;N/A
Last Flag Flying;N/A;N/A
Lucky (2017);N/A;N/A
Landline;N/A;N/A
Tubelight;N/A;N/A
The Red Turtle;N/A;N/A
Frantz;N/A;N/A
Journey to the West: The Demons Strike Back;N/A;N/A
The Polar Express (2017 re-release);N/A;N/A
Jagga Jasoos;N/A;N/A
Ex-File 3 (Qian Ren 3);N/A;N/A
Patti Cake$;N/A;N/A
George Takei's Allegiance;N/A;N/A
Mark Felt: The Man Who Brought Down the White House;N/A;N/A
Mubarakan;N/A;N/A
May It Last: A Portrait Of The Avett Brothers;N/A;N/A
Kirk Cameron REVIVE US 2;N/A;N/A
The Exception;N/A;N/A
Canelo Vs. GGG: Supremacy;N/A;N/A
Faces Places;N/A;N/A
Chris Brown: Welcome To My Life;N/A;N/A
Titanic (20th Anniversary);N/A;N/A
Lost in Paris;N/A;N/A
Shubh Mangal Saavdhan;N/A;N/A
The Devotion of Suspect X;N/A;N/A
Walk With Me;N/A;N/A
Wilson;N/A;N/A
The Only Living Boy in New York;N/A;N/A
The Midwife;N/A;N/A
Battle of Memories;N/A;N/A
Novitiate;N/A;N/A
Tommy's Honour;N/A;N/A
Bitter Harvest;N/A;N/A
Samaritan's Purse: Facing Darkness (Encore);N/A;N/A
Dolores;N/A;N/A
Brigsby Bear;N/A;N/A
Human Flow;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=humanflow.htm;6304
JONAH - On Stage!;N/A;N/A
Fairy Tail: Dragon Cry;N/A;N/A
Raw (2017);N/A;N/A
Our President;N/A;N/A
Breathe (2017);N/A;N/A
Once Upon A Time;N/A;N/A
Confidential Assignment;N/A;N/A
Beach Rats;N/A;N/A
Duckweed;N/A;N/A
DCI 2017 Tour Premeire;N/A;N/A
Phillauri;N/A;N/A
Chasing the Dragon;N/A;N/A
Sailor Moon R: The Movie;N/A;N/A
Song to Song;N/A;N/A
One Piece Film: Gold;N/A;N/A
A Gentleman;N/A;N/A
Chasing Trane: The John Coltrane Documentary;N/A;N/A
Rifftrax: Samurai Cop;N/A;N/A
I'll Push You;N/A;N/A
Rebel in the Rye;N/A;N/A
Boston: An American Running Story;N/A;N/A
Kung Fu Yoga;N/A;N/A
Disney Junior HalloVeen Party;N/A;N/A
Letters from Baghdad;N/A;N/A
