bom_movie_name;swedish_page_link;swedish_gross
Pay 2 Play: Democracy's High Stakes;N/A;N/A
The Players;N/A;N/A
As It Is In Heaven;N/A;N/A
Inside the Mind of Leonardo Da Vinci in 3D;N/A;N/A
Norte, the End of History;N/A;N/A
Stray Dogs;N/A;N/A
The Endless Summer (2014 re-release);N/A;N/A
Before I Disappear;N/A;N/A
Kabbalah Me;N/A;N/A
Marius;N/A;N/A
If You Don't, I Will;N/A;N/A
On the Other Side of the Tracks;N/A;N/A
In the House of Flies;N/A;N/A
Radio Free Albemuth;N/A;N/A
The Immortalists;N/A;N/A
Honeymoon;N/A;N/A
The Sacrament;N/A;N/A
Faith Connections;N/A;N/A
The Cabinet of Dr. Caligari (2014 re-release);N/A;N/A
Fanny;N/A;N/A
Comet;N/A;N/A
The Mystery of Happiness;N/A;N/A
The Quitter;N/A;N/A
Canopy;N/A;N/A
Almost Human;N/A;N/A
Red Hollywood;N/A;N/A
Love is in the Air;N/A;N/A
Eternity the Movie;N/A;N/A
Gringo Trails;N/A;N/A
Life Partners;N/A;N/A
Empty Hours;N/A;N/A
Gladiators of Rome;N/A;N/A
Next Year Jerusalem;N/A;N/A
Rigor Mortis;N/A;N/A
Archipelago;N/A;N/A
Come Back to Me;N/A;N/A
Iceman (2014);N/A;N/A
The Little Bedroom;N/A;N/A
Raze;N/A;N/A
I Am Ali;N/A;N/A
The Strange Color of Your Body's Tears;N/A;N/A
ABCs of Death 2;N/A;N/A
Stage Fright (2014);N/A;N/A
Plot for Peace;N/A;N/A
Very Good Girls;N/A;N/A
Pioneer;N/A;N/A
No God, No Master;N/A;N/A
Before You Know It;N/A;N/A
Will You Still Love Me Tomorrow;N/A;N/A
Aatsinki: The Story of Arctic Cowboys;N/A;N/A
Life of a King;N/A;N/A
Jews of Egypt;N/A;N/A
The Adventurer: The Curse of the Midas Box;N/A;N/A
Manuscripts Don't Burn;N/A;N/A
Tip Top;N/A;N/A
Love and Air Sex;N/A;N/A
Cavemen;N/A;N/A
Gang of Ghosts;N/A;N/A
The Strange Little Cat;N/A;N/A
2 Autumns, 3 Winters;N/A;N/A
The Devil's Hand;N/A;N/A
Papirosen;N/A;N/A
Kid Cannabis;N/A;N/A
Gabrielle (2014);N/A;N/A
Flex is Kings;N/A;N/A
The Only Real Game;N/A;N/A
Return to Nuke 'Em High Volume 1;N/A;N/A
Sleepwalker;N/A;N/A
Nothing Bad Can Happen;N/A;N/A
Half the Road;N/A;N/A
Death Metal Angola;N/A;N/A
Smiling Through the Apocalypse;N/A;N/A
Unrelated;N/A;N/A
The Truth About Emanuel;N/A;N/A
Anna;N/A;N/A
Free the Nipple;N/A;N/A
Thunder and the House of Magic!;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=houseofmagic.htm;775701
Maidan;N/A;N/A
Beyond Outrage;N/A;N/A
Swim Little Fish Swim;N/A;N/A
Hollidaysburg;N/A;N/A
The Word;N/A;N/A
Stop the Pounding Heart;N/A;N/A
Hide Your Smiling Faces;N/A;N/A
Evolution of a Criminal;N/A;N/A
Locker 13;N/A;N/A
The Hacker Wars;N/A;N/A
Aftermath (2014);N/A;N/A
Life's a Breeze;N/A;N/A
Age of Uprising: The Legend of Michael Kohlhaas (U.S. only);N/A;N/A
The Girl on the Train (2014);N/A;N/A
Showrunners: The Art of Running a TV Show;N/A;N/A
What Now? Remind Me;N/A;N/A
French Gigolo (Cliente);N/A;N/A
Fatal Assistance;N/A;N/A
V/H/S: Viral;N/A;N/A
Black Out;N/A;N/A
Mercedes Sosa: The Voice of Latin America;N/A;N/A
Refuge;N/A;N/A
Indigo Children;N/A;N/A
Jake Squared;N/A;N/A
McCanick;N/A;N/A
Two-Bit Waltz;N/A;N/A
The Wait;N/A;N/A
The Protector 2;N/A;N/A
Evergreen: The Road to Legalization;N/A;N/A
Moebius;N/A;N/A
Infliction;N/A;N/A
Missionary;N/A;N/A
The Right Kind of Wrong;N/A;N/A
Algorithms;N/A;N/A
Open Windows;N/A;N/A
Mr. Pip;N/A;N/A
More Than the Rainbow;N/A;N/A
Summer in February;N/A;N/A
Rhymes for Young Ghouls;N/A;N/A
Postman Pat: The Movie;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=postmanpat.htm;82177
Souldier;N/A;N/A
Ragnarok;N/A;N/A
The Tower (2014);N/A;N/A
Anything For Alice;N/A;N/A
We Are the Giant;N/A;N/A
The Butterfly Room;N/A;N/A
Demi-Soeur;N/A;N/A
A People Uncounted;N/A;N/A
Jackpot;N/A;N/A
Grand Depart;N/A;N/A
Skinless;N/A;N/A
Cinemanovels;N/A;N/A
Mummy, I'm a Zombie;N/A;N/A
;N/A;N/A
;N/A;N/A
;N/A;N/A
;N/A;N/A
;N/A;N/A
;N/A;N/A
;N/A;N/A
;N/A;N/A
;N/A;N/A
;N/A;N/A
;N/A;N/A
;N/A;N/A
;N/A;N/A
;N/A;N/A
;N/A;N/A
;N/A;N/A
;N/A;N/A
;N/A;N/A
