bom_movie_name;swedish_page_link;swedish_gross
Into The Storm;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=intothestorm.htm;331724
The Judge;N/A;N/A
Jersey Boys;N/A;N/A
Blended;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=blended.htm;47892
The Giver;N/A;N/A
St. Vincent;N/A;N/A
Need for Speed;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=needforspeed.htm;1140605
A Million Ways to Die in the West;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=millionwaystodie.htm;763896
John Wick;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=johnwick.htm;134754
Birdman;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=birdman.htm;771412
Dolphin Tale 2;N/A;N/A
The Expendables 3;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=expendables3.htm;621774
Earth to Echo;N/A;N/A
Sex Tape;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=sextape.htm;1148175
Wild (2014);http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=wild2014.htm;366657
Million Dollar Arm;N/A;N/A
The Theory of Everything;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=theoryofeverything.htm;662328
This is Where I Leave You;N/A;N/A
The Gambler;N/A;N/A
Paranormal Activity: The Marked Ones;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=paranormalactivity5.htm;551146
Nightcrawler;N/A;N/A
Chef;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=chef.htm;120206
Get On Up;N/A;N/A
3 Days to Kill;N/A;N/A
Deliver Us From Evil;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=bewarethenight.htm;476442
When the Game Stands Tall;N/A;N/A
Draft Day;N/A;N/A
Oculus;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=oculus.htm;164832
The Best of Me;N/A;N/A
A Walk Among the Tombstones;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=walktombstones.htm;242894
That Awkward Moment;N/A;N/A
Boyhood;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=boyhood.htm;225663
Top Five;N/A;N/A
The November Man;N/A;N/A
Endless Love (2014);N/A;N/A
Pompeii;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=pompeii.htm;154174
Transcendence;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=transcendence.htm;265079
As Above/So Below;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=asabovesobelow.htm;133288
Brick Mansions;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=brickmansions.htm;94324
I, Frankenstein;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=ifrankenstein.htm;26805
The Legend of Hercules;N/A;N/A
Bears;N/A;N/A
Addicted;N/A;N/A
A Haunted House 2;N/A;N/A
A Most Wanted Man;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=amostwantedman.htm;148450
Begin Again;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=canasong.htm;202381
Tyler Perry's The Single Moms Club;N/A;N/A
Devil's Due;N/A;N/A
And So It Goes;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=andsoitgoes.htm;99240
Step Up All In;N/A;N/A
Beyond the Lights;N/A;N/A
Big Eyes;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=bigeyes.htm;25311
America (2014);N/A;N/A
Left Behind (2014);N/A;N/A
Frank Miller's Sin City: A Dame to Kill For;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=sincity2.htm;280801
Labor Day;N/A;N/A
Whiplash;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=whiplash.htm;135143
Winter's Tale;N/A;N/A
Foxcatcher;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=foxcatcher.htm;144418
Island of Lemurs: Madagascar (IMAX);N/A;N/A
Belle;N/A;N/A
The Drop;N/A;N/A
P.K.;N/A;N/A
Magic in the Moonlight;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=magicinthemoonlight.htm;383333
Sabotage (2014);N/A;N/A
Moms' Night Out;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=momsnightout.htm;2335
The Quiet Ones;N/A;N/A
Legends of Oz: Dorothy's Return;N/A;N/A
Inherent Vice;N/A;N/A
Vampire Academy;N/A;N/A
Bad Words;N/A;N/A
Cantinflas;N/A;N/A
The Interview (2014);N/A;N/A
Meet the Mormons;N/A;N/A
A Most Violent Year;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=amostviolentyear.htm;16703
Cesar Chavez;N/A;N/A
The Skeleton Twins;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=skeletontwins.htm;43886
The Wind Rises;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=windrises.htm;247352
Snowpiercer;N/A;N/A
The Railway Man;N/A;N/A
Dear White People;N/A;N/A
The Lunchbox;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=lunchbox.htm;448856
My Old Lady;N/A;N/A
Mr. Turner;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=mrturner.htm;161309
Ida;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=ida.htm;248785
Fading Gigolo;N/A;N/A
Calvary;N/A;N/A
Wish I Was Here;N/A;N/A
Ghostbusters (30th Anniversary re-release);N/A;N/A
Mommy;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=mommy.htm;76074
What If (2014);http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=whatif2014.htm;20202
The Grand Seduction;N/A;N/A
Veronica Mars;N/A;N/A
Before I Go To Sleep;N/A;N/A
Rosewater;N/A;N/A
Obvious Child;N/A;N/A
The Trip to Italy;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=triptoitaly.htm;12428
The Identical;N/A;N/A
The Fluffy Movie;N/A;N/A
Citizenfour;N/A;N/A
Kirk Cameron's Saving Christmas;N/A;N/A
The Pyramid;N/A;N/A
The Good Lie;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=goodlie.htm;27695
The Raid 2;N/A;N/A
Under the Skin (2014);N/A;N/A
The Admiral: Roaring Currents;N/A;N/A
Dragon Ball Z: Battle of Gods;N/A;N/A
Bang Bang;N/A;N/A
Kick;N/A;N/A
Kill the Messenger;N/A;N/A
The Homesman;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=homesman.htm;33478
Ode to My Father;N/A;N/A
Love is Strange;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=loveisstrange.htm;14534
2 States;N/A;N/A
Le Week-End;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=leweekend.htm;24693
Anchorman 2 (R-Rated Extended Cut);N/A;N/A
2014 Oscar Nominated Short Films;N/A;N/A
Words and Pictures;N/A;N/A
Gloria (2014);http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=gloria14.htm;96601
The Immigrant;N/A;N/A
Only Lovers Left Alive;N/A;N/A
Tusk;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=tusk.htm;451
Tim's Vermeer;N/A;N/A
Persecuted;N/A;N/A
Awake: The Life of Yogananda;N/A;N/A
Fed Up;N/A;N/A
Finding Vivian Maier;N/A;N/A
Pride (2014);http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=pride2014.htm;595880
Two Days, One Night;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=twodaysonenight.htm;18800
Locke;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=locke.htm;61747
Gimme Shelter;N/A;N/A
Force Majeure;N/A;N/A
Jai Ho;N/A;N/A
Singham Returns;N/A;N/A
Repentance;N/A;N/A
The Remaining;N/A;N/A
Hector And The Search For Happiness;N/A;N/A
The Rover;N/A;N/A
Walking with the Enemy;N/A;N/A
Leviathan (2014);http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=leviathan2014.htm;170028
The Captive;N/A;N/A
Laggies;N/A;N/A
50 to 1;N/A;N/A
Haider;N/A;N/A
Third Person;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=thirdperson.htm;27313
Stalingrad (2014);N/A;N/A
The Song;N/A;N/A
Enemy;N/A;N/A
The Babadook;N/A;N/A
Shaadi Ke Side Effects;N/A;N/A
Mas Negro Que La Noche;N/A;N/A
Particle Fever;N/A;N/A
Song of the Sea;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=songofthesea.htm;48829
Atlas Shrugged Part III: Who Is John Galt?;N/A;N/A
Kochadaiiyaan;N/A;N/A
Saw 10th Anniversary;N/A;N/A
Life Itself;N/A;N/A
Nymphomaniac: Volume I;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=nymphomaniac.htm;190935
Breakup Buddies;N/A;N/A
Palo Alto;N/A;N/A
Ek Villain;N/A;N/A
Land Ho!;N/A;N/A
Yves Saint Laurent;N/A;N/A
Khoobsurat;N/A;N/A
Holiday (2014);N/A;N/A
Men, Women & Children;N/A;N/A
The Tale of The Princess Kaguya;N/A;N/A
Frankie & Alice (2014);N/A;N/A
A Matter of Faith;N/A;N/A
Jodorowsky's Dune;N/A;N/A
Hasee Toh Phasee;N/A;N/A
Frank;N/A;N/A
Mary Kom;N/A;N/A
Finding Fanny;N/A;N/A
The Signal (2014);N/A;N/A
The Disappearance of Eleanor Rigby;N/A;N/A
Back in Time (Congcong Nanian);N/A;N/A
Forrest Gump (IMAX);N/A;N/A
The Attorney;N/A;N/A
23 Blast;N/A;N/A
On Any Sunday: The Next Chapter;N/A;N/A
Highway (2014);N/A;N/A
Dom Hemingway;N/A;N/A
A Hard Day's Night (2014 re-release);N/A;N/A
The One I Love;N/A;N/A
Tracks (2014);http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=tracks2014.htm;189081
The Two Faces of January;N/A;N/A
A Girl Walks Home Alone at Night;N/A;N/A
Last Days in Vietnam;N/A;N/A
In Secret;N/A;N/A
But Always (Yi Sheng Yi Shi);N/A;N/A
Beijing Love Story;N/A;N/A
Cold in July;N/A;N/A
She's Beautiful When She's Angry;N/A;N/A
The German Doctor;N/A;N/A
The Pirates;N/A;N/A
Goodbye to Language;N/A;N/A
Humpty Sharma Ki Dulhania;N/A;N/A
Women Who Flirt (Sajiao Nvren);N/A;N/A
Venus in Fur;N/A;N/A
Joe (2014);N/A;N/A
Glen Campbell... I'll Be Me;N/A;N/A
Omar;N/A;N/A
The Face of Love;N/A;N/A
Le Chef;N/A;N/A
Jimi: All Is By My Side;N/A;N/A
Chinese Puzzle;N/A;N/A
I Origins;N/A;N/A
Like Father, Like Son (2014);http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=fatherson.htm;19894
The Guest (2014);N/A;N/A
Elaine Stritch: Shoot Me;N/A;N/A
Nymphomaniac: Volume II;N/A;N/A
Stranger By the Lake;N/A;N/A
On My Way;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=onmyway.htm;72121
Happy Ending;N/A;N/A
The Hornet's Nest;N/A;N/A
I Am Eleven;N/A;N/A
A Five Star Life;N/A;N/A
Mood Indigo;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=moodindigo.htm;166081
Innocence (2014);N/A;N/A
The Dance of Reality;N/A;N/A
Antarctica: A Year on Ice;N/A;N/A
The Last of Robin Hood;N/A;N/A
Elsa & Fred (2014);N/A;N/A
Kundo: Age of the Rampant;N/A;N/A
20,000 Days on Earth;N/A;N/A
The Unknown Known;N/A;N/A
Main Tera Hero;N/A;N/A
Night Moves;N/A;N/A
Love on the Cloud (Wei Ai);N/A;N/A
The Love Punch;N/A;N/A
Life of Crime;N/A;N/A
Ernest & Celestine;N/A;N/A
Blue Ruin;N/A;N/A
The Green Prince;N/A;N/A
The Zero Theorem;N/A;N/A
Action Jackson (2014);N/A;N/A
Alive Inside;N/A;N/A
The Blue Room;N/A;N/A
National Gallery;N/A;N/A
Tazza: The Hidden Card;N/A;N/A
The Galapagos Affair: Satan Came to Eden;N/A;N/A
James Cameron's Deepsea Challenge 3D;N/A;N/A
Art and Craft;N/A;N/A
Diplomacy;N/A;N/A
Dr. Cabbie (U.S. only);N/A;N/A
The Suspect (2014);N/A;N/A
Supermensch: The Legend of Shep Gordon;N/A;N/A
The Breakup Guru;N/A;N/A
Rob the Mob;N/A;N/A
Under the Electric Sky;N/A;N/A
Jinn;N/A;N/A
Bethlehem;N/A;N/A
The Double (2014);N/A;N/A
Listen Up Philip;N/A;N/A
A Summer's Tale;N/A;N/A
Code Black;N/A;N/A
We Are The Best!;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=wearethebest.htm;1132488
Anita;N/A;N/A
Evangelion: 3.0 You Can (Not) Redo;N/A;N/A
Horns;N/A;N/A
Afternoon of a Faun;N/A;N/A
