revenue,imdb_rating
352816.0,5.8
350814.0,6.4
120290.0,7.3
821833.0,8.2
139777.0,7.2
1236797.0,5.9
401824.0,6.7
369129.0,7.8
67167.0,6.5
519159.0,6.9
20881.0,6.6
169420.0,6.5
708821.0,6.6
1269215.0,5.7
561869.0,6.5
690204.0,7.0
174733.0,6.6
58373.0,7.5
605134.0,6.5
191533.0,6.7
275491.0,6.4
134728.0,6.2
816653.0,5.4
195866.0,5.9
827582.0,5.3
230917.0,6.3
83348.0,5.7
96737.0,6.6
151559.0,6.7
185581.0,8.1
464523.0,4.9
440148.0,7.3
130229.0,8.1
221164.0,7.2
146840.0,6.5
58090.0,6.7
28878.0,6.7
149955.0,6.4
384702.0,6.7
45378.0,8.1
148318.0,6.3
80792.0,6.4
198650.0,7.2
103423.0,7.6
56756.0,6.3
329910.0,5.2
67629.0,5.9
177140.0,4.8
100346.0,7.3
63165.0,7.1
108769.0,3.5
261483.0,5.9
98108.0,6.4
280853.0,4.1
175925.0,6.6
102202.0,8.0
192579.0,8.1
167229.0,5.9
56843.0,8.0
146839.0,6.7
86960.0,6.6
24890.0,7.4
202530.0,7.6
120413.0,7.3
211415.0,6.2
190502.0,5.6
46201.0,6.5
32072.0,6.8
15546.0,7.7
201279.0,5.3
82034.0,5.9
42874.0,7.5
114355.0,7.8
40810.0,5.3
41570.0,7.5
3339.0,5.0
82802.0,7.1
42366.0,7.9
14444.0,5.7
114018.0,7.2
86611.0,5.6
31731.0,7.4
59341.0,7.8
14376.0,7.4
7712.0,6.9
15633.0,6.5
3596.0,6.3
17436.0,7.0
82117.0,6.0
11416.0,7.6
54684.0,7.2
21681.0,5.6
22420.0,7.8
9716.0,6.3
4899.0,7.5
38466.0,5.7
168910.0,8.3
11771.0,6.9
31787.0,7.4
10772.0,6.4
7602.0,6.9
8842.0,7.6
6090.0,6.9
4966.0,6.5
67827.0,5.7
19300.0,7.3
7855.0,7.9
2288528.0,8.1
2081565.0,8.4
1331296.0,7.2
2878058.0,7.8
3905089.0,7.9
2312287.0,5.5
1163265.0,7.0
1507098.0,7.1
697034.0,7.0
712277.0,6.9
192097.0,6.4
109640.0,7.7
99206.0,7.4
470943.0,5.8
1169193.0,8.4
1284411.0,6.6
685150.0,6.1
562617.0,7.6
618972.0,7.1
410840.0,6.3
167560.0,7.2
255994.0,7.7
1804827.0,7.0
324014.0,6.8
124655.0,6.8
604439.0,7.9
69940.0,6.1
416689.0,6.7
326245.0,5.8
361441.0,7.3
160532.0,7.4
207261.0,7.3
105011.0,6.1
366471.0,6.6
418046.0,5.8
646148.0,7.0
599289.0,6.2
526701.0,6.6
223365.0,7.4
527884.0,5.8
65478.0,7.2
51038.0,5.6
150495.0,7.1
106213.0,6.3
79897.0,6.4
145330.0,6.5
549699.0,6.4
237452.0,6.3
349558.0,7.2
643923.0,6.7
101787.0,7.0
319790.0,6.3
173515.0,6.7
45734.0,6.4
440183.0,4.6
118102.0,4.2
78373.0,6.8
209179.0,6.5
129447.0,7.3
75584.0,7.8
316537.0,6.5
372794.0,5.4
28575.0,7.0
36329.0,5.7
108815.0,8.1
46554.0,7.6
90941.0,5.9
292647.0,5.9
63448.0,7.3
141406.0,5.7
41700.0,7.0
291896.0,6.7
152216.0,7.5
2027.0,6.5
45388.0,7.6
64683.0,7.6
50620.0,5.0
142934.0,6.3
37418.0,7.1
87667.0,7.1
147056.0,6.6
105564.0,7.3
283775.0,8.5
75247.0,6.8
41472.0,6.6
13108.0,6.6
28026.0,6.2
26241.0,7.9
4238.0,5.9
104227.0,6.8
1004.0,7.1
23193.0,7.5
36266.0,6.7
78196.0,7.6
24593.0,7.4
18130.0,6.6
140331.0,7.6
13183.0,6.2
808.0,5.7
15417.0,5.0
14157.0,6.1
18838.0,7.1
24819.0,6.3
66777.0,5.3
15542.0,7.3
9606.0,7.3
1365475.0,6.2
270189.0,6.5
147147.0,5.9
33072.0,6.1
31221.0,6.4
3425257.0,8.1
1216066.0,6.3
2350930.0,6.4
1122607.0,6.5
3419675.0,6.6
960030.0,7.3
1050893.0,7.4
2006735.0,6.2
1145200.0,7.5
623099.0,7.0
600908.0,7.6
502855.0,6.9
131567.0,8.1
381072.0,6.8
545729.0,7.3
1153161.0,6.7
622813.0,7.8
555913.0,6.9
1118644.0,5.5
418866.0,4.4
522919.0,7.0
309628.0,7.2
136641.0,6.9
253634.0,5.5
212626.0,5.8
218627.0,6.4
440929.0,7.8
242254.0,5.7
220676.0,6.0
144787.0,7.0
365227.0,5.8
337924.0,7.8
248442.0,7.1
234677.0,7.4
129884.0,5.8
316836.0,6.0
183040.0,7.3
57893.0,5.2
149917.0,7.2
97576.0,7.8
180014.0,6.2
2288201.0,7.4
318336.0,6.6
16790.0,7.6
41770.0,3.4
185041.0,6.4
130817.0,1.6
92601.0,6.2
139001.0,6.0
249225.0,5.9
36408.0,6.9
228984.0,7.1
261858.0,6.9
52061.0,7.3
177713.0,7.7
204881.0,6.6
539792.0,6.1
90767.0,7.5
156244.0,5.7
66269.0,6.8
273430.0,7.1
129239.0,7.9
120836.0,5.9
79326.0,7.1
32768.0,6.8
116330.0,5.9
305730.0,3.5
265755.0,6.2
130803.0,4.4
147487.0,5.4
366971.0,6.7
69781.0,6.6
80534.0,6.4
249302.0,6.1
75952.0,6.1
134476.0,7.8
31862.0,7.7
122043.0,6.0
32894.0,5.7
26209.0,6.9
322071.0,6.4
127312.0,5.7
335002.0,7.2
140210.0,7.1
539359.0,5.9
259336.0,4.9
134093.0,5.2
18091.0,4.0
67220.0,6.4
102264.0,7.0
246025.0,7.0
41614.0,6.8
24633.0,6.2
57187.0,7.4
21159.0,5.8
28263.0,4.9
439570.0,6.3
25990.0,7.5
31155.0,8.3
9043.0,7.2
21208.0,6.5
34821.0,7.5
2827.0,6.9
30680.0,7.2
81906.0,8.8
27218.0,7.7
56701.0,7.6
111257.0,7.1
16863.0,6.9
34144.0,7.3
41758.0,7.2
999.0,3.3
18498.0,8.2
22616.0,6.0
16111.0,7.5
39410.0,7.3
232957.0,7.7
9466.0,7.1
30049.0,7.2
20040.0,7.2
28879.0,7.3
24120.0,6.9
11501.0,5.8
15899.0,6.6
12488.0,7.6
1553489.0,8.3
1400636.0,6.5
527540.0,7.0
1164726.0,5.0
2839146.0,7.7
1030783.0,8.8
530655.0,7.7
352906.0,6.3
578187.0,8.1
1828543.0,7.8
339716.0,7.2
544951.0,6.8
325706.0,7.6
517249.0,5.8
245176.0,6.0
373155.0,5.5
236940.0,7.3
395820.0,8.0
548301.0,4.2
459203.0,8.1
239983.0,6.7
255389.0,6.4
4668.0,7.0
37736.0,5.7
396048.0,8.0
852841.0,6.7
1174539.0,6.3
220680.0,6.5
422217.0,6.6
374083.0,4.6
399104.0,7.7
1155874.0,4.4
126540.0,7.8
151911.0,7.6
435143.0,6.6
76585.0,7.1
255909.0,6.8
144900.0,5.7
149091.0,6.8
203032.0,5.7
31671.0,6.3
234218.0,7.6
365390.0,6.3
11535.0,5.9
437062.0,6.0
123168.0,5.5
318349.0,6.1
113222.0,5.2
290800.0,5.8
6287.0,6.4
649300.0,5.9
39404.0,7.1
197450.0,7.0
18130.0,6.6
531944.0,6.2
289244.0,6.4
159251.0,7.6
69967.0,5.4
761883.0,5.6
167620.0,5.9
113087.0,6.6
381370.0,4.9
150856.0,6.4
162328.0,3.4
114634.0,6.3
171836.0,6.8
143710.0,4.2
93767.0,6.2
28329.0,6.5
287179.0,6.7
10594.0,6.4
42231.0,7.5
28306.0,6.5
55299.0,6.5
34273.0,6.1
27318.0,5.8
17613.0,6.6
77361.0,5.5
28530.0,6.5
131476.0,7.4
59461.0,7.0
78624.0,7.8
120783.0,8.5
155500.0,7.6
31742.0,6.3
13268.0,3.8
85463.0,7.2
21885.0,6.5
1994515.0,7.8
33019.0,6.8
2304468.0,7.2
7659.0,7.0
119802.0,7.2
1450023.0,7.3
17655.0,7.0
12551.0,7.4
3183.0,8.3
17408.0,6.1
109151.0,6.3
33851.0,7.3
24107.0,7.9
141847.0,6.6
67317.0,6.3
11717.0,6.4
27732.0,6.5
16583.0,7.2
14661.0,7.2
14423.0,7.2
105543.0,7.0
12200.0,7.0
8980.0,6.9
57916.0,7.3
8269.0,6.4
4619.0,7.7
27429.0,5.9
22196.0,7.2
5874.0,6.5
13108.0,6.5
42925.0,7.2
